SN,Ni56 mass,Average/single values,stdev,Reference,,Host,Distance,,Reference_for_distance
SN2006gi,0.0640,0.0640,,Elmhamdi+11,,1,39.6,,
SN2006jc,0.2200,0.2200,,Tominaga+08,,UGC 4904,29.9,,# Hubble distance
SN2006jo,0.1050,0.2625,0.2227,Prentice+16,,SDSS J12314.96-001948.8,345.8,,# Taddia+15 (https://ui.adsabs.harvard.edu/abs/2015A%26A...574A..60T/abstract)
,0.4200,,,Taddia+15,,,,,
SN2006lc,0.1600,0.1628,0.1030,Taddia+18,,SDSS J24424.36-000943.4,59.2,,# Taddia+18 (https://ui.adsabs.harvard.edu/abs/2018A%26A...609A.136T/abstract)
,0.1400,,,Taddia+18,,,,,
,0.0510,,,Prentice+16,,,,,
,0.3000,,,Taddia+15,,,,,
SN2007C,0.0800,0.1040,0.0523,Taddia+18,,NGC 4981,22.7,,
,0.0700,,,Taddia+18,,,,,
,0.1700,,,Lyman+16,,,,,
,0.1600,,,Drout+11,,,,,
,0.0400,,,Sharon+20,,,,,
SN2007Y,0.0300,0.0435,0.0132,Taddia+18,,NGC 1187,16.8,,
,0.0300,,,Taddia+18,,,,,
,0.0510,,,Prentice+16,,,,,
,0.0400,,,Lyman+16,,,,,
,0.0600,,,Stritzinger+09,,,,,
,0.0500,,,Moriya+20,,,,,
SN2007kj,0.0700,0.0680,0.0028,Taddia+18,,NGC 7803,77.9,,# Hubble distance
,0.0660,,,Taddia+18,,,,,
SN2007nc,0.0870,0.1635,0.1082,Prentice+16,,SDSS J00109.19+010409.4,393.9,,# Taddia+15 (https://ui.adsabs.harvard.edu/abs/2015A%26A...574A..60T/abstract)
,0.2400,,,Taddia+15,,,,,
SN2007uy,0.3940,0.3247,0.0609,Prentice+16,,NGC 2770,28.7,,
,0.2800,,,Lyman+16,,,,,
,0.3000,,,Roy+13,,,,,
SN2008D,0.1110,0.0878,0.0175,Prentice+16,,NGC 2770,28.7,,
,0.0900,,,Lyman+16,,,,,
,0.0800,,,Mazzali+08,,,,,
,0.0700,,,Drout+11,,,,,
SN2008gc,0.3500,0.3500,0.0000,Taddia+18,,A021036-5345,207.6,,# Taddia+18 (https://ui.adsabs.harvard.edu/abs/2018A%26A...609A.136T/abstract)
,0.3500,,,Taddia+18,,,,,
SN2009iz,0.1010,0.1010,,Prentice+16,,UGC 2175,61.9,,# Hubble distance
SN2009jf,0.2710,0.2228,0.0214,Prentice+16,,NGC 7479,28.3,,
,0.2400,,,Lyman+16,,,,,
,0.2300,,,Valenti+11,,,,,
,0.1500,,,Sharon+20,,,,,
SN2012au,0.3000,0.3000,0.0000,Takaki+13,,NGC 4790,22.9,,
,0.3000,,,Milisavljevic+13,,,,,
LSQ13abf,0.1600,0.1600,,Stritzinger+20,,***not found,98,,# Stritzinger+20
iPTF13alq,0.2810,0.2810,,Taddia+19,,A114802+5434,244.2,,# Taddia+19
iPTF13bvn,0.0720,0.0730,0.0125,Fremling+16,,NGC 5806,24.7,,
,0.0700,,,Prentice+16,,,,,
,0.0600,,,Lyman+16,,,,,
,0.0900,,,Srivastav+14,,,,,
SN2013ek,0.0500,0.0500,,Prentice+19,,NGC 6984,50.9,,
M12045,0.1300,0.1300,,Singh+19,,***not found,19.32,,# Singh+19
SN2014C,0.1500,0.1500,,Marugutti+17,,NGC 7331,13.4,,
SN2015ah,0.0920,0.0920,,Prentice+19,,UGC 12295,60,,
SN2015ap,0.1200,0.1200,,Prentice+19,,IC 1776,48.6,,
SN2016jdw,0.0600,0.0600,,Prentice+19,,MCG+05-31-168,44.5,,
SN2016frp,0.0800,0.0800,,Prentice+19,,***not found,111.17,,# Prentice+19
SN2017bgu,0.0690,0.0690,,Prentice+19,,PGC 2201393,45.3,,# Hubble distance
